submission_id,department,dataset_title,issues
META-002,Basic Education Department,School Enrollment Data DISE,Missing data owner name
META-003,Basic Education Department,Mid-Day Meal Attendance,Description missing or too short (<20 chars); Record count missing (not a live API dataset)
META-005,Health Department,Patient Admission Records District Hospitals,DPDP inconsistency: personal data classified as Public (must be Restricted or Confidential)
META-007,Agriculture Department,Farmer Registration PM-KISAN,Classification blank or invalid (must be Public/Restricted/Confidential)
META-009,Urban Development Department,Building Permit Applications,Record count missing (not a live API dataset)
META-010,Energy Department,UPPCL Consumer Billing Data,Missing data owner name; Invalid last_updated date format: '30-11-2024' (expected YYYY-MM-DD)
META-013,Home Department,FIR and Crime Statistics,Missing data owner name
META-015,Women & Child Development,Anganwadi Beneficiary Data,DPDP inconsistency: personal data classified as Public (must be Restricted or Confidential); Invalid submitted_on date format: '04/13/2026' (expected YYYY-MM-DD)
META-018,Transport Department,Driving Licence Records SARATHI,Description missing or too short (<20 chars)
META-020,Food & Civil Supplies,PDS Beneficiary Records,Classification blank or invalid (must be Public/Restricted/Confidential)
META-024,Labour Department,Contract Labour Registration,Missing data owner name
